2MASS J19383260+4603591 b,2MASS J19383260+4603591,406
47 UMa b,47 UMa,1078
47 UMa c,47 UMa,2391
47 UMa d,47 UMa,14002
55 Cnc b,55 Cnc,14.6516
55 Cnc c,55 Cnc,44.3989
55 Cnc d,55 Cnc,5574.2
55 Cnc e,55 Cnc,0.7365474
55 Cnc f,55 Cnc,259.88
61 Vir b,61 Vir,4.215
61 Vir c,61 Vir,38.021
61 Vir d,61 Vir,123.01
AU Mic b,AU Mic,8.4629991
AU Mic c,AU Mic,18.858991
AU Mic d,AU Mic,12.73596
CoRoT-7 b,CoRoT-7,0.85359163
CoRoT-7 c,CoRoT-7,3.698
CoRoT-7 d,CoRoT-7,8.966
DMPP-1 b,DMPP-1,18.57
DMPP-1 c,DMPP-1,6.584
DMPP-1 d,DMPP-1,2.882
DMPP-1 e,DMPP-1,5.516
EPIC 201754305 d,K2-16,2.71578
EPIC 206024342 b,EPIC 206024342,4.50756
EPIC 206024342 c,EPIC 206024342,0.911724
EPIC 206024342 d,EPIC 206024342,14.647531
EPIC 249893012 b,EPIC 249893012,3.5951
EPIC 249893012 c,EPIC 249893012,15.624
EPIC 249893012 d,EPIC 249893012,35.747
GJ 1061 b,GJ 1061,3.204
GJ 1061 c,GJ 1061,6.689
GJ 1061 d,GJ 1061,13.031
GJ 163 b,GJ 163,8.63182
GJ 163 c,GJ 163,25.63058
GJ 163 d,GJ 163,603.95116
GJ 180 b,GJ 180,17.133
GJ 180 c,GJ 180,24.329
GJ 180 d,GJ 180,106.3
GJ 3138 b,GJ 3138,1.22003
GJ 3138 c,GJ 3138,5.974
GJ 3138 d,GJ 3138,257.8
GJ 3293 b,GJ 3293,30.5987
GJ 3293 c,GJ 3293,122.6196
GJ 3293 d,GJ 3293,48.1345
GJ 3293 e,GJ 3293,13.2543
GJ 357 b,GJ 357,3.9306
GJ 357 c,GJ 357,9.1247
GJ 357 d,GJ 357,55.661
GJ 367 b,GJ 367,0.3219225
GJ 367 c,GJ 367,11.5301
GJ 367 d,GJ 367,34.369
GJ 433 b,GJ 433,7.3705
GJ 433 c,GJ 433,5094.105
GJ 433 d,GJ 433,36.059
GJ 581 b,GJ 581,5.3686
GJ 581 c,GJ 581,12.914
GJ 581 e,GJ 581,3.149
GJ 667 C b,GJ 667 C,7.203
GJ 667 C c,GJ 667 C,28.14
GJ 667 C e,GJ 667 C,62.24
GJ 667 C f,GJ 667 C,39.026
GJ 667 C g,GJ 667 C,256.2
GJ 676 A b,GJ 676 A,1051.44521
GJ 676 A c,GJ 676 A,13921.42302
GJ 676 A d,GJ 676 A,3.60076
GJ 676 A e,GJ 676 A,35.47358
GJ 876 b,GJ 876,61.1166
GJ 876 c,GJ 876,30.0881
GJ 876 d,GJ 876,1.93778
GJ 876 e,GJ 876,124.26
GJ 9827 b,GJ 9827,1.2089819
GJ 9827 c,GJ 9827,3.648096
GJ 9827 d,GJ 9827,6.20147
HD 10180 c,HD 10180,5.75969
HD 10180 d,HD 10180,16.357
HD 10180 e,HD 10180,49.748
HD 10180 f,HD 10180,122.744
HD 10180 g,HD 10180,604.67
HD 10180 h,HD 10180,2205
HD 108236 b,HD 108236,3.795963
HD 108236 c,HD 108236,6.203449
HD 108236 d,HD 108236,14.175685
HD 108236 e,HD 108236,19.590025
HD 108236 f,HD 108236,29.54115
HD 110067 b,HD 110067,9.113678
HD 110067 c,HD 110067,13.673694
HD 110067 d,HD 110067,20.519617
HD 110067 e,HD 110067,30.793091
HD 110067 f,HD 110067,41.05854
HD 110067 g,HD 110067,54.76992
HD 11506 b,HD 11506,1613.74017
HD 11506 c,HD 11506,223.95986
HD 11506 d,HD 11506,14723.57452
HD 125612 b,HD 125612,557.69994
HD 125612 c,HD 125612,4.15466
HD 125612 d,HD 125612,2822.72698
HD 133131 A b,HD 133131 A,649
HD 133131 A c,HD 133131 A,3568
HD 133131 B b,HD 133131 B,5769
HD 136352 b,HD 136352,11.57797
HD 136352 c,HD 136352,27.59221
HD 136352 d,HD 136352,107.245
HD 141399 b,HD 141399,94.44
HD 141399 c,HD 141399,201.99
HD 141399 d,HD 141399,1069.8
HD 141399 e,HD 141399,5000
HD 142 A d,HD 142,108.45299
HD 142 b,HD 142,351.43394
HD 142 c,HD 142,10159.64279
HD 153557 b,HD 153557,7.29903
HD 153557 c,HD 153557,15.27018
HD 153557 d,HD 153557,40654.64809
HD 158259 b,HD 158259,2.178
HD 158259 c,HD 158259,3.432
HD 158259 d,HD 158259,5.1980814
HD 158259 e,HD 158259,7.951
HD 158259 f,HD 158259,12.028
HD 160691 b,HD 160691,645
HD 160691 c,HD 160691,3947
HD 160691 d,HD 160691,9.6392
HD 160691 e,HD 160691,307.9
HD 164922 b,HD 164922,1207
HD 164922 c,HD 164922,75.74
HD 164922 d,HD 164922,12.458
HD 164922 e,HD 164922,41.763
HD 181433 b,HD 181433,9.3743
HD 181433 c,HD 181433,962
HD 181433 d,HD 181433,2172
HD 184010 b,HD 184010,286.6
HD 184010 c,HD 184010,484.3
HD 184010 d,HD 184010,836.4
HD 191939 b,HD 191939,8.8803256
HD 191939 c,HD 191939,28.579743
HD 191939 d,HD 191939,38.353037
HD 191939 e,HD 191939,101.12
HD 191939 f,HD 191939,2200
HD 191939 g,HD 191939,284
HD 204313 b,HD 204313,2041.11539
HD 204313 c,HD 204313,34.95875
HD 204313 e,HD 204313,7325.64666
HD 20781 b,HD 20781,5.3135
HD 20781 c,HD 20781,13.8905
HD 20781 d,HD 20781,29.158
HD 20781 e,HD 20781,85.5073
HD 20782 b,HD 20782,597.0643
HD 20794 b,HD 20794,18.315
HD 20794 c,HD 20794,40.114
HD 20794 d,HD 20794,90.309
HD 20794 e,HD 20794,147.02
HD 215152 b,HD 215152,5.75999
HD 215152 c,HD 215152,7.28243
HD 215152 d,HD 215152,10.86499
HD 215152 e,HD 215152,25.1967
HD 219134 b,HD 219134,3.092926
HD 219134 c,HD 219134,6.76458
HD 219134 d,HD 219134,46.859
HD 219134 f,HD 219134,22.717
HD 219134 g,HD 219134,94.2
HD 219134 h,HD 219134,2247
HD 22946 d,HD 22946,47.42489
HD 23472 b,HD 23472,17.667087
HD 23472 c,HD 23472,29.79749
HD 23472 d,HD 23472,3.97664
HD 23472 e,HD 23472,7.90754
HD 23472 f,HD 23472,12.1621839
HD 27894 b,HD 27894,18.01939
HD 27894 c,HD 27894,36.07
HD 27894 d,HD 27894,5019.54244
HD 28109 b,HD 28109,22.89104
HD 28109 c,HD 28109,56.00819
HD 28109 d,HD 28109,84.25999
HD 31527 b,HD 31527,16.5535
HD 31527 c,HD 31527,51.2053
HD 31527 d,HD 31527,271.6737
HD 3167 b,HD 3167,0.959641
HD 3167 c,HD 3167,29.8454
HD 3167 d,HD 3167,8.4112
HD 3167 e,HD 3167,96.63
HD 33142 b,HD 33142,330
HD 33142 c,HD 33142,810.2
HD 33142 d,HD 33142,89.9
HD 34445 b,HD 34445,1049
HD 34445 c,HD 34445,214.67
HD 34445 d,HD 34445,117.87
HD 34445 e,HD 34445,49.175
HD 34445 f,HD 34445,676.8
HD 34445 g,HD 34445,5700
HD 37124 b,HD 37124,154.378
HD 37124 c,HD 37124,885.5
HD 37124 d,HD 37124,1862
HD 39091 b,HD 39091,2088.75851
HD 39194 b,HD 39194,5.6368
HD 39194 c,HD 39194,14.03
HD 39194 d,HD 39194,33.91
HD 40307 b,HD 40307,4.3123
HD 40307 c,HD 40307,9.6184
HD 40307 d,HD 40307,20.432
HD 40307 f,HD 40307,51.76
HD 40307 g,HD 40307,197.8
HD 63433 b,HD 63433,7.1079379
HD 63433 c,HD 63433,20.543791
HD 63433 d,HD 63433,4.209075
HD 69830 b,HD 69830,8.667
HD 69830 c,HD 69830,31.56
HD 69830 d,HD 69830,197
HD 7924 b,HD 7924,5.39792
HD 7924 c,HD 7924,15.299
HD 7924 d,HD 7924,24.451
HD 93385 b,HD 93385,7.3426
HD 93385 c,HD 93385,13.18
HD 93385 d,HD 93385,45.85
HD 96700 b,HD 96700,8.1245
HD 96700 c,HD 96700,19.88
HD 96700 d,HD 96700,103.5
HIP 14810 b,HIP 14810,6.673892
HIP 14810 c,HIP 14810,147.747
HIP 14810 d,HIP 14810,981.8
HIP 29442 b,HIP 29442,13.63083
HIP 29442 c,HIP 29442,3.53796
HIP 29442 d,HIP 29442,6.42975
HIP 41378 b,HIP 41378,15.572098
HIP 41378 c,HIP 41378,31.70648
HIP 41378 d,HIP 41378,1114
HIP 41378 e,HIP 41378,
HIP 41378 f,HIP 41378,1084
HIP 57274 b,HIP 57274,8.1352
HIP 57274 c,HIP 57274,32.03
HIP 57274 d,HIP 57274,431.7
HR 858 b,HR 858,3.58599
HR 858 c,HR 858,5.97293
HR 858 d,HR 858,11.23
HR 8799 b,HR 8799,170000
HR 8799 c,HR 8799,69000
HR 8799 d,HR 8799,37000
HR 8799 e,HR 8799,
K2-133 b,K2-133,3.07133
K2-133 c,K2-133,4.86784
K2-133 d,K2-133,11.02454
K2-133 e,K2-133,26.5841
K2-136 b,K2-136,7.9752
K2-136 c,K2-136,17.30713
K2-136 d,K2-136,25.575
K2-138 b,K2-138,2.35309
K2-138 c,K2-138,3.56004
K2-138 d,K2-138,5.40479
K2-138 e,K2-138,8.26146
K2-138 f,K2-138,12.75758
K2-138 g,K2-138,41.96797
K2-148 b,K2-148,4.38395
K2-148 c,K2-148,6.9226
K2-148 d,K2-148,9.7579
K2-155 b,K2-155,6.342
K2-155 c,K2-155,13.85
K2-155 d,K2-155,40.718
K2-16 b,K2-16,7.6188
K2-16 c,K2-16,19.07863
K2-165 b,K2-165,2.354992
K2-165 c,K2-165,4.382745
K2-165 d,K2-165,14.101361
K2-183 b,K2-183,0.469285
K2-183 c,K2-183,10.787992
K2-183 d,K2-183,22.620344
K2-187 b,K2-187,0.77401
K2-187 c,K2-187,2.871512
K2-187 d,K2-187,7.149584
K2-187 e,K2-187,13.606629
K2-19 b,K2-19,7.9222
K2-19 c,K2-19,11.8993
K2-19 d,K2-19,2.5081
K2-198 b,K2-198,17.0428683
K2-198 c,K2-198,3.3596055
K2-198 d,K2-198,7.4500177
K2-219 b,K2-219,3.901287
K2-219 c,K2-219,6.66767
K2-219 d,K2-219,11.137278
K2-233 b,K2-233,2.4675
K2-233 c,K2-233,7.06005
K2-233 d,K2-233,24.3645
K2-239 b,K2-239,5.24
K2-239 c,K2-239,7.775
K2-239 d,K2-239,10.115
K2-266 b,K2-266,0.658524
K2-266 c,K2-266,7.814
K2-266 d,K2-266,14.697
K2-266 e,K2-266,19.482
K2-268 b,K2-268,2.151676
K2-268 c,K2-268,9.327527
K2-268 d,K2-268,4.528598
K2-268 e,K2-268,6.131243
K2-268 f,K2-268,26.27057
K2-285 b,K2-285,3.471745
K2-285 c,K2-285,7.138048
K2-285 d,K2-285,10.45582
K2-285 e,K2-285,14.76289
K2-3 b,K2-3,10.0546535
K2-3 c,K2-3,24.646729
K2-3 d,K2-3,44.55603
K2-32 b,K2-32,8.992
K2-32 c,K2-32,20.66093
K2-32 d,K2-32,31.71701
K2-32 e,K2-32,4.34934
K2-352 b,K2-352,3.665912
K2-352 c,K2-352,8.234885
K2-352 d,K2-352,14.871387
K2-368 b,K2-368,5.025598
K2-368 c,K2-368,9.660186
K2-368 d,K2-368,20.201085
K2-37 b,K2-37,4.44117
K2-37 c,K2-37,6.42904
K2-37 d,K2-37,14.09189
K2-381 b,K2-381,7.9389334
K2-381 c,K2-381,16.034656
K2-381 d,K2-381,26.803023
K2-384 b,K2-384,2.231527
K2-384 c,K2-384,4.194766
K2-384 d,K2-384,6.679582
K2-384 e,K2-384,9.715043
K2-384 f,K2-384,13.62749
K2-58 b,K2-58,7.05254
K2-58 c,K2-58,2.53726
K2-58 d,K2-58,22.8827
K2-72 b,K2-72,5.577212
K2-72 c,K2-72,15.189034
K2-72 d,K2-72,7.760178
K2-72 e,K2-72,24.158868
K2-80 b,K2-80,19.0918
K2-80 c,K2-80,5.605
K2-80 d,K2-80,28.867253
KIC 10001893 b,KIC 10001893,0.2197
KIC 10001893 c,KIC 10001893,0.32528
KIC 10001893 d,KIC 10001893,0.81161
KIC 8540376 b,KOI-7892,31.8099
KIC 8540376 c,KOI-7892,75.2
KOI-142 b,KOI-142,10.91647
KOI-142 c,KOI-142,22.26492
KOI-1831 d,Kepler-324,34.169
KOI-1833 d,Kepler-968,7.685
KOI-351 b,KOI-351,7.008151
KOI-351 c,KOI-351,8.719375
KOI-351 d,KOI-351,59.73667
KOI-351 e,KOI-351,91.93913
KOI-351 f,KOI-351,124.9144
KOI-351 g,KOI-351,210.60697
KOI-351 h,KOI-351,331.60059
KOI-94 b,KOI-94,3.743208
KOI-94 c,KOI-94,10.423648
KOI-94 d,KOI-94,22.342989
KOI-94 e,KOI-94,54.32031
Kepler-10 b,Kepler-10,0.8374907
Kepler-10 c,Kepler-10,45.294301
Kepler-10 d,Kepler-10,151.04
Kepler-100 b,Kepler-100,6.88705
Kepler-100 c,Kepler-100,12.8159
Kepler-100 d,Kepler-100,35.3331
Kepler-102 b,Kepler-102,5.286965
Kepler-102 c,Kepler-102,7.071392
Kepler-102 d,Kepler-102,10.311767
Kepler-102 e,Kepler-102,16.1456994
Kepler-102 f,Kepler-102,27.453592
Kepler-104 b,Kepler-104,11.427548
Kepler-104 c,Kepler-104,23.668205
Kepler-104 d,Kepler-104,51.755394
Kepler-106 b,Kepler-106,6.16486
Kepler-106 c,Kepler-106,13.5708
Kepler-106 d,Kepler-106,23.9802
Kepler-106 e,Kepler-106,43.8445
Kepler-107 b,Kepler-107,3.1800218
Kepler-107 c,Kepler-107,4.901452
Kepler-107 d,Kepler-107,7.95839
Kepler-107 e,Kepler-107,14.749143
Kepler-1073 b,Kepler-1073,8.67888593
Kepler-1073 c,Kepler-1073,4.02582254
Kepler-1073 d,Kepler-1073,2.50476003
Kepler-11 b,Kepler-11,10.3039
Kepler-11 c,Kepler-11,13.0241
Kepler-11 d,Kepler-11,22.6845
Kepler-11 e,Kepler-11,31.9996
Kepler-11 f,Kepler-11,46.6888
Kepler-11 g,Kepler-11,118.3807
Kepler-1130 b,Kepler-1130,5.45298175
Kepler-1130 c,Kepler-1130,3.26663995
Kepler-1130 d,Kepler-1130,4.27225017
Kepler-114 b,Kepler-114,5.188549
Kepler-114 c,Kepler-114,8.041
Kepler-114 d,Kepler-114,11.776
Kepler-122 b,Kepler-122,5.766193
Kepler-122 c,Kepler-122,12.465988
Kepler-122 d,Kepler-122,21.587475
Kepler-122 e,Kepler-122,37.993273
Kepler-122 f,Kepler-122,56.268
Kepler-124 b,Kepler-124,3.410493
Kepler-124 c,Kepler-124,13.821375
Kepler-124 d,Kepler-124,30.950851
Kepler-1254 b,Kepler-1254,9.99113313
Kepler-1254 c,Kepler-1254,3.60084276
Kepler-1254 d,Kepler-1254,5.72717226
Kepler-126 b,Kepler-126,10.495711
Kepler-126 c,Kepler-126,21.869741
Kepler-126 d,Kepler-126,100.283134
Kepler-127 b,Kepler-127,14.435889
Kepler-127 c,Kepler-127,29.393195
Kepler-127 d,Kepler-127,48.630408
Kepler-129 b,Kepler-129,15.79
Kepler-129 c,Kepler-129,82.2
Kepler-129 d,Kepler-129,2646
Kepler-130 b,Kepler-130,8.457458
Kepler-130 c,Kepler-130,27.50868
Kepler-130 d,Kepler-130,87.517905
Kepler-1311 b,Kepler-1311,11.1726994
Kepler-1311 c,Kepler-1311,2.53573424
Kepler-1311 d,Kepler-1311,197.5110016
Kepler-132 b,Kepler-132,6.178196
Kepler-132 c,Kepler-132,6.414914
Kepler-132 d,Kepler-132,18.010199
Kepler-132 e,Kepler-132,110.2869374
Kepler-1321 b,Kepler-1321,11.12830484
Kepler-1321 c,Kepler-1321,2.22649109
Kepler-1321 d,Kepler-1321,5.72092009
Kepler-138 b,Kepler-138,10.3134
Kepler-138 c,Kepler-138,13.7815
Kepler-138 d,Kepler-138,23.0923
Kepler-138 e,Kepler-138,38.23
Kepler-1388 b,Kepler-1388,12.2854603
Kepler-1388 c,Kepler-1388,5.53608151
Kepler-1388 d,Kepler-1388,20.9568158
Kepler-1388 e,Kepler-1388,37.6327084
Kepler-142 b,Kepler-142,2.024152
Kepler-142 c,Kepler-142,4.761702
Kepler-142 d,Kepler-142,41.809118
Kepler-1468 b,Kepler-1468,8.23984869
Kepler-1468 c,Kepler-1468,3.54553021
Kepler-1468 d,Kepler-1468,19.59059906
Kepler-148 b,Kepler-148,1.729366
Kepler-148 c,Kepler-148,4.180043
Kepler-148 d,Kepler-148,51.84688575
Kepler-149 b,Kepler-149,29.198943
Kepler-149 c,Kepler-149,55.328328
Kepler-149 d,Kepler-149,160.018032
Kepler-150 b,Kepler-150,3.428054
Kepler-150 c,Kepler-150,7.381998
Kepler-150 d,Kepler-150,12.56093
Kepler-150 e,Kepler-150,30.826557
Kepler-150 f,Kepler-150,637.2093
Kepler-1530 b,Kepler-1530,2.5904434
Kepler-1530 c,Kepler-1530,5.3227406
Kepler-1530 d,Kepler-1530,9.20761013
Kepler-154 b,Kepler-154,33.040532
Kepler-154 c,Kepler-154,62.303276
Kepler-154 d,Kepler-154,20.54981883
Kepler-154 e,Kepler-154,3.93276465
Kepler-154 f,Kepler-154,9.91935684
Kepler-1542 b,Kepler-1542,3.95116882
Kepler-1542 c,Kepler-1542,2.89223021
Kepler-1542 d,Kepler-1542,5.99273738
Kepler-1542 e,Kepler-1542,5.10115756
Kepler-157 b,Kepler-157,1.732342
Kepler-157 c,Kepler-157,13.5405
Kepler-157 d,Kepler-157,7.02573474
Kepler-160 b,Kepler-160,4.309397
Kepler-160 c,Kepler-160,13.699429
Kepler-160 d,Kepler-160,30
Kepler-164 b,Kepler-164,5.03503
Kepler-164 c,Kepler-164,10.945723
Kepler-164 d,Kepler-164,28.986769
Kepler-166 b,Kepler-166,7.650254
Kepler-166 c,Kepler-166,34.260281
Kepler-166 d,Kepler-166,1.55400393
Kepler-1669 b,Kepler-1669,9.51216
Kepler-1669 c,Kepler-1669,1.60932005
Kepler-167 b,Kepler-167,4.3931539
Kepler-167 c,Kepler-167,7.406106
Kepler-167 d,Kepler-167,21.80379
Kepler-167 e,Kepler-167,1071.23205
Kepler-169 b,Kepler-169,3.250619
Kepler-169 c,Kepler-169,6.195469
Kepler-169 d,Kepler-169,8.348125
Kepler-169 e,Kepler-169,13.767102
Kepler-169 f,Kepler-169,87.090195
Kepler-171 b,Kepler-171,4.166972
Kepler-171 c,Kepler-171,11.463462
Kepler-171 d,Kepler-171,39.595519
Kepler-172 b,Kepler-172,2.940309
Kepler-172 c,Kepler-172,6.388996
Kepler-172 d,Kepler-172,14.627119
Kepler-172 e,Kepler-172,35.118736
Kepler-174 b,Kepler-174,13.98179
Kepler-174 c,Kepler-174,44.000529
Kepler-174 d,Kepler-174,247.35373
Kepler-176 b,Kepler-176,5.433074
Kepler-176 c,Kepler-176,12.759712
Kepler-176 d,Kepler-176,25.751974
Kepler-176 e,Kepler-176,51.16579
Kepler-178 b,Kepler-178,9.576694
Kepler-178 c,Kepler-178,20.552802
Kepler-178 d,Kepler-178,96.678988
Kepler-18 b,Kepler-18,3.504725
Kepler-18 c,Kepler-18,7.64159
Kepler-18 d,Kepler-18,14.85888
Kepler-184 b,Kepler-184,10.687576
Kepler-184 c,Kepler-184,20.303005
Kepler-184 d,Kepler-184,29.022358
Kepler-186 b,Kepler-186,3.8867907
Kepler-186 c,Kepler-186,7.267302
Kepler-186 d,Kepler-186,13.342996
Kepler-186 e,Kepler-186,22.407704
Kepler-186 f,Kepler-186,129.9441
Kepler-19 b,Kepler-19,9.28699
Kepler-19 c,Kepler-19,28.731
Kepler-19 d,Kepler-19,62.95
Kepler-191 b,Kepler-191,9.939632
Kepler-191 c,Kepler-191,17.738506
Kepler-191 d,Kepler-191,5.94504102
Kepler-192 b,Kepler-192,9.926746
Kepler-192 c,Kepler-192,21.2234
Kepler-192 d,Kepler-192,6.47027579
Kepler-194 b,Kepler-194,2.092281
Kepler-194 c,Kepler-194,17.308032
Kepler-194 d,Kepler-194,52.814973
Kepler-196 b,Kepler-196,20.739886
Kepler-196 c,Kepler-196,47.427737
Kepler-196 d,Kepler-196,122.0800018
Kepler-197 b,Kepler-197,5.599308
Kepler-197 c,Kepler-197,10.349695
Kepler-197 d,Kepler-197,15.677563
Kepler-197 e,Kepler-197,25.209715
Kepler-198 b,Kepler-198,17.790037
Kepler-198 c,Kepler-198,49.567416
Kepler-198 d,Kepler-198,1.31184443
Kepler-20 b,Kepler-20,3.6961049
Kepler-20 c,Kepler-20,10.8540774
Kepler-20 d,Kepler-20,77.611455
Kepler-20 e,Kepler-20,6.0984882
Kepler-20 f,Kepler-20,19.578328
Kepler-20 g,Kepler-20,34.94
Kepler-203 b,Kepler-203,3.162697
Kepler-203 c,Kepler-203,5.370647
Kepler-203 d,Kepler-203,11.32972
Kepler-206 b,Kepler-206,7.781987
Kepler-206 c,Kepler-206,13.137471
Kepler-206 d,Kepler-206,23.44281
Kepler-207 b,Kepler-207,1.611865
Kepler-207 c,Kepler-207,3.071571
Kepler-207 d,Kepler-207,5.868075
Kepler-208 b,Kepler-208,4.22864
Kepler-208 c,Kepler-208,7.466623
Kepler-208 d,Kepler-208,11.131786
Kepler-208 e,Kepler-208,16.259458
Kepler-215 b,Kepler-215,9.360672
Kepler-215 c,Kepler-215,14.667108
Kepler-215 d,Kepler-215,30.864423
Kepler-215 e,Kepler-215,68.16101
Kepler-217 b,Kepler-217,5.374943
Kepler-217 c,Kepler-217,8.586004
Kepler-217 d,Kepler-217,3.88689525
Kepler-218 b,Kepler-218,3.619337
Kepler-218 c,Kepler-218,44.699576
Kepler-218 d,Kepler-218,124.5244647
Kepler-219 b,Kepler-219,4.585512
Kepler-219 c,Kepler-219,22.714613
Kepler-219 d,Kepler-219,47.903645
Kepler-220 b,Kepler-220,4.159807
Kepler-220 c,Kepler-220,9.034199
Kepler-220 d,Kepler-220,28.122397
Kepler-220 e,Kepler-220,45.902733
Kepler-221 b,Kepler-221,2.795906
Kepler-221 c,Kepler-221,5.690586
Kepler-221 d,Kepler-221,10.04156
Kepler-221 e,Kepler-221,18.369917
Kepler-222 b,Kepler-222,3.936981
Kepler-222 c,Kepler-222,10.08881
Kepler-222 d,Kepler-222,28.081912
Kepler-223 b,Kepler-223,7.38449
Kepler-223 c,Kepler-223,9.84564
Kepler-223 d,Kepler-223,14.78869
Kepler-223 e,Kepler-223,19.72567
Kepler-224 b,Kepler-224,3.132924
Kepler-224 c,Kepler-224,5.925003
Kepler-224 d,Kepler-224,11.349393
Kepler-224 e,Kepler-224,18.643577
Kepler-226 b,Kepler-226,3.940997
Kepler-226 c,Kepler-226,5.349555
Kepler-226 d,Kepler-226,8.109044
